id,locale,title,descr
1,en,Wireless Mouse,Ergonomic wireless mouse
1,hi,वायरलेस माउस,आरामदायक वायरलेस माउस
1,fr,Souris sans fil,Souris sans fil ergonomique
1,de,Kabellose Maus,Ergonomische kabellose Maus

2,en,Keyboard,Mechanical keyboard
2,hi,कीबोर्ड,मैकेनिकल कीबोर्ड
2,fr,Clavier,Clavier mécanique
2,de,Tastatur,Mechanische Tastatur

3,en,Laptop Stand,Adjustable aluminum stand
3,hi,लैपटॉप स्टैंड,समायोज्य एल्युमिनियम स्टैंड
3,fr,Support pour ordinateur portable,Support en aluminium réglable
3,de,Laptopständer,Verstellbarer Aluminiumständer

4,en,USB Cable,Type-C fast charging cable
4,hi,यूएसबी केबल,टाइप-सी फास्ट चार्जिंग केबल
4,fr,Câble USB,Câble de charge rapide Type-C
4,de,USB-Kabel,Typ-C Schnellladekabel

5,en,Headphones,Bluetooth over-ear headphones
5,hi,हेडफ़ोन,ब्लूटूथ ओवर-ईयर हेडफ़ोन
5,fr,Casque audio,Casque Bluetooth circum-aural
5,de,Kopfhörer,Bluetooth Over-Ear Kopfhörer
